iter	RMSE
0	385.0834653
1	376.5178993
2	368.4996331
3	361.218488
4	354.2135937
5	348.1141271
6	342.4892006
7	337.1147002
8	332.0998914
9	327.5789647
10	323.4569267
11	319.5883004
12	315.9825892
13	310.9179637
14	306.2191166
15	301.9110075
16	297.9464523
17	294.3074412
18	290.9412626
19	287.8050455
20	284.7715166
21	281.967626
22	279.0715357
23	276.6639975
24	274.5170774
25	272.3349371
26	270.0632389
27	268.1727015
28	266.5024748
29	264.9372773
30	263.4148245
31	260.6597463
32	258.1965803
33	256.1659933
34	254.3131918
35	252.2375979
36	250.3159063
37	248.8755508
38	247.0616368
39	245.8070564
40	244.3136217
41	243.0654665
42	241.9270105
43	240.9029316
44	240.0080839
45	238.5663995
46	237.2630629
47	236.3392822
48	235.4909105
49	234.4139888
50	233.5979676
51	232.8636434
52	232.1832782
53	231.5505056
54	231.0453019
55	230.3380615
56	229.7062697
57	229.307116
58	228.836398
59	228.4416545
60	228.1246285
61	227.7321274
62	227.319585
63	226.9990341
64	226.5734807
65	226.2576548
66	225.9953935
67	225.3713605
68	225.0107631
69	224.7566945
70	224.5274298
71	224.308304
72	224.0902918
73	223.8868987
74	223.6136536
75	223.4560214
76	223.2191299
77	222.6852257
78	222.4634371
79	222.0146301
80	221.8642302
81	221.532889
82	221.3336139
83	221.1458547
84	221.0171442
85	220.8351136
86	220.6916998
87	220.5408479
88	220.3969383
89	220.2537451
90	220.0943814
91	219.8876936
92	219.6206438
93	219.2150304
94	219.0596072
95	218.9347936
96	218.6295253
97	218.215873
98	218.0690015
99	217.9746879
