iter	Passed	Remaining
0	91	9090
1	146	7159
2	213	6910
3	269	6465
4	345	6567
5	396	6207
6	447	5946
7	503	5785
8	579	5859
9	631	5682
10	684	5536
11	744	5459
12	797	5336
13	870	5348
14	924	5241
15	986	5179
16	1055	5152
17	1115	5079
18	1176	5014
19	1232	4930
20	1290	4855
21	1341	4757
22	1396	4673
23	1450	4593
24	1506	4519
25	1562	4445
26	1628	4402
27	1710	4398
28	1788	4379
29	1868	4358
30	1941	4320
31	2000	4251
32	2061	4185
33	2117	4110
34	2172	4034
35	2236	3975
36	2287	3895
37	2339	3816
38	2393	3744
39	2461	3692
40	2541	3657
41	2621	3620
42	2704	3584
43	2774	3531
44	2839	3470
45	2899	3403
46	2958	3335
47	3018	3269
48	3077	3203
49	3131	3131
50	3184	3059
51	3252	3002
52	3321	2945
53	3388	2886
54	3451	2823
55	3522	2767
56	3582	2702
57	3635	2632
58	3698	2570
59	3750	2500
60	3804	2432
61	3865	2369
62	3924	2304
63	3978	2237
64	4038	2174
65	4095	2109
66	4150	2044
67	4201	1977
68	4254	1911
69	4306	1845
70	4362	1781
71	4413	1716
72	4466	1652
73	4519	1587
74	4575	1525
75	4626	1460
76	4676	1396
77	4731	1334
78	4788	1272
79	4839	1209
80	4896	1148
81	4950	1086
82	5007	1025
83	5059	963
84	5108	901
85	5162	840
86	5222	780
87	5278	719
88	5342	660
89	5414	601
90	5473	541
91	5529	480
92	5587	420
93	5638	359
94	5690	299
95	5741	239
96	5801	179
97	5863	119
98	5911	59
99	5970	0
